Geographic Area - Borough,Geographic Area - Neighborhood Tabulation Area (NTA)* Name,Total Population 2000 Number,Total Population 2010 Number,Total Population Change 2000-2010 Number,Total Population Change 2000-2010 Percent
Bronx,Claremont-Bathgate,28149,31078,2929,10.4
Bronx,Eastchester-Edenwald-Baychester,35422,34517,-905,-2.6
Bronx,Bedford Park-Fordham North,55329,54415,-914,-1.7
Bronx,Belmont,25967,27378,1411,5.4
Bronx,Bronxdale,34309,35538,1229,3.6
Bronx,West Farms-Bronx River,34542,35011,469,1.4
Bronx,Soundview-Castle Hill-Clason Point-Harding Park,50753,53686,2933,5.8
Bronx,Pelham Bay-Country Club-City Island,27140,26583,-557,-2.1
Bronx,Co-Op City,40676,43752,3076,7.6
Bronx,East Concourse-Concourse Village,58961,62284,3323,5.6
Bronx,East Tremont,39280,43423,4143,10.5
Bronx,North Riverdale-Fieldston-Riverdale,28013,27860,-153,-0.5
Bronx,Highbridge,33844,37727,3883,11.5
Bronx,Hunts Point,25142,27204,2062,8.2
Bronx,Van Cortlandt Village,50607,50100,-507,-1
Bronx,Spuyten Duyvil-Kingsbridge,29872,30161,289,1
Bronx,Kingsbridge Heights,33286,32496,-790,-2.4
Bronx,Allerton-Pelham Gardens,28510,28903,393,1.4
Bronx,Longwood,23082,26196,3114,13.5
Bronx,Melrose South-Mott Haven North,33195,39214,6019,18.1
Bronx,Morrisania-Melrose,29797,37865,8068,27.1
Bronx,University Heights-Morris Heights,54335,54188,-147,-0.3
Bronx,Van Nest-Morris Park-Westchester Square,27135,29250,2115,7.8
Bronx,Mott Haven-Port Morris,49030,52413,3383,6.9
Bronx,Fordham South,26880,28262,1382,5.1
Bronx,Mount Hope,52649,51807,-842,-1.6
Bronx,Norwood,40817,40494,-323,-0.8
Bronx,Williamsbridge-Olinville,57420,61321,3901,6.8
Bronx,Parkchester,29353,29821,468,1.6
Bronx,Pelham Parkway,30006,30073,67,0.2
Bronx,Schuylerville-Throgs Neck-Edgewater Park,43712,44167,455,1
Bronx,Soundview-Bruckner,35137,35634,497,1.4
Bronx,Westchester-Unionport,25768,27248,1480,5.7
Bronx,Woodlawn-Wakefield,43583,42483,-1100,-2.5
Bronx,West Concourse,39557,39282,-275,-0.7
Bronx,Crotona Park East,18072,20277,2205,12.2
Bronx,Rikers Island,12780,11091,-1689,-13.2
Brooklyn,Brooklyn Heights-Cobble Hill,22548,22887,339,1.5
Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,64596,64518,-78,-0.1
Brooklyn,Brighton Beach,35244,35547,303,0.9
Brooklyn,Seagate-Coney Island,34267,31965,-2302,-6.7
Brooklyn,West Brighton,17370,17750,380,2.2
Brooklyn,Homecrest,45679,44316,-1363,-3
Brooklyn,Gravesend,29257,29436,179,0.6
Brooklyn,Bath Beach,28572,29931,1359,4.8
Brooklyn,Bensonhurst West,84640,88727,4087,4.8
Brooklyn,Bensonhurst East,58566,62978,4412,7.5
Brooklyn,Dyker Heights,39332,42419,3087,7.8
Brooklyn,Bay Ridge,80539,79371,-1168,-1.5
Brooklyn,Sunset Park West,52312,54041,1729,3.3
Brooklyn,Carroll Gardens-Columbia Street-Red Hook,38327,38353,26,0.1
Brooklyn,Sunset Park East,66150,72340,6190,9.4
Brooklyn,Stuyvesant Heights,61827,63504,1677,2.7
Brooklyn,Park Slope-Gowanus,67263,67649,386,0.6
Brooklyn,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,30847,34495,3648,11.8
Brooklyn,Windsor Terrace,20779,20988,209,1
Brooklyn,Kensington-Ocean Parkway,36937,36891,-46,-0.1
Brooklyn,Flatbush,110875,105804,-5071,-4.6
Brooklyn,Midwood,55440,52835,-2605,-4.7
Brooklyn,Madison,39076,38917,-159,-0.4
Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basin,42940,45231,2291,5.3
Brooklyn,Ocean Parkway South,20556,20299,-257,-1.3
Brooklyn,Canarsie,85058,83693,-1365,-1.6
Brooklyn,Flatlands,66726,64762,-1964,-2.9
Brooklyn,Prospect Lefferts Gardens-Wingate,70300,67459,-2841,-4
Brooklyn,Crown Heights North,103462,103169,-293,-0.3
Brooklyn,Crown Heights South,42370,39670,-2700,-6.4
Brooklyn,Prospect Heights,19655,19849,194,1
